Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0402_1005Metric",251.968000,-162.334000,270.000000,bottom
"C2","100n","C_0402_1005Metric",247.904000,-106.200000,270.000000,bottom
"C3","100n","C_0402_1005Metric",247.396000,-128.524000,90.000000,bottom
"C4","100n","C_0402_1005Metric",254.155000,-138.938000,180.000000,bottom
"C5","22u","C_0805_2012Metric",242.758000,-153.924000,180.000000,bottom
"C6","10u","C_0805_2012Metric",248.666000,-175.006000,0.000000,bottom
"D1","1N4148W","D_SOD-123",248.285000,-90.170000,270.000000,bottom
"D2","1N4148W","D_SOD-123",249.555000,-105.411000,90.000000,bottom
"D3","1N4148W","D_SOD-123",249.555000,-110.616000,270.000000,bottom
"D4","1N4148W","D_SOD-123",241.300000,-111.633000,270.000000,bottom
"D5","1N4148W","D_SOD-123",251.206000,-154.812000,270.000000,bottom
"D6","1N4148W","D_SOD-123",248.285000,-154.812000,270.000000,bottom
"D11","1N5819W","D_SOD-123",242.570000,-161.545000,270.000000,bottom
"D12","1N5819W","D_SOD-123",251.714000,-173.102000,90.000000,bottom
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",242.570000,-157.052500,270.000000,bottom
"FB2","Ferrite_Bead_Small","L_0805_2012Metric",248.666000,-177.038000,180.000000,bottom
"Q1","MMBT3904","SOT-23",255.270000,-87.630000,270.000000,bottom
"Q2","MMBT3904","SOT-23",251.460000,-86.360000,270.000000,bottom
"Q3","MMBT3904","SOT-23",242.300000,-102.235000,0.000000,bottom
"Q4","MMBT3904","SOT-23",243.586000,-98.552000,0.000000,bottom
"Q5","MMBT3904","SOT-23",250.952000,-159.512000,180.000000,bottom
"R1","47k","R_0402_1005Metric",248.920000,-85.850000,270.000000,bottom
"R2","1k","R_1206_3216Metric",257.556000,-125.603000,180.000000,bottom
"R3","10k","R_0402_1005Metric",252.476000,-89.662000,270.000000,bottom
"R4","47k","R_0402_1005Metric",241.300000,-106.045000,270.000000,bottom
"R5","10k","R_0402_1005Metric",251.460000,-89.660000,90.000000,bottom
"R6","10k","R_0402_1005Metric",246.505000,-103.505000,180.000000,bottom
"R7","10k","R_0402_1005Metric",246.507000,-102.489000,0.000000,bottom
"R8","47k","R_0402_1005Metric",255.778000,-90.170000,0.000000,bottom
"R9","47k","R_0402_1005Metric",247.904000,-109.476000,90.000000,bottom
"R10","100k","R_0402_1005Metric",250.446000,-164.084000,180.000000,bottom
"R11","10k","R_0402_1005Metric",250.952000,-162.306000,270.000000,bottom
"R12","10k","R_0402_1005Metric",249.936000,-162.560000,90.000000,bottom
"R13","1k","R_1206_3216Metric",250.952000,-128.585500,270.000000,bottom
"R14","1k","R_1206_3216Metric",251.714000,-148.274500,90.000000,bottom
"R15","1k","R_1206_3216Metric",257.556000,-155.255500,90.000000,bottom
"R16","1k","R_0603_1608Metric",250.952000,-100.330000,0.000000,bottom
"R17","1k","R_0603_1608Metric",249.682000,-121.349000,90.000000,bottom
"R18","1k","R_0603_1608Metric",246.316000,-144.145000,180.000000,bottom
"R19","1k","R_0603_1608Metric",247.650000,-164.465000,90.000000,bottom
"U1","4022B","TSSOP-16_4.4x5mm_P0.65mm",254.762000,-110.561000,180.000000,bottom
"U2","DG412xY","SOIC-16_3.9x9.9mm_P1.27mm",254.000000,-134.620000,90.000000,bottom
